Year;Crime Type;Male 12-14	;Female 12-14	;Male 15-17;Female 15-17;Male 18-24	;Female 18-24	;Male 25-34;Female 25-34;Male 35-44;Female 35-44;Male 45-54;Female 45-54;Male 55-64;Female 55-64;Male 65 +;Female 65 +;Male Unknown;Female Unknown
2019;Opposition  to the  Bankruptcy   and Enforcement Law;2.0;;  3;;  624;  50; 3 932;205.0; 5 560;281.0; 3 154;174.0;  977;50.0;204.0;14.0;3.0;
2019;Opposition to the Military Criminal Law;;;;; 2 887;;  307;;  45;;  12;;;;;;;
2019;Threat;8.0;1.0;  200;6.0; 2 662;  64; 5 030;128.0; 3 649;122.0; 1 738;61.0;  467;19.0;77.0;1.0;2.0;
2019;Damage to property;1.0;;  37;;  915;  22; 1 048;45.0;  515;29.0;  193;14.0;  54;;10.0;1.0;;
2019;Prevention of performance;;;  10;1.0; 1 023;  43; 1 417;49.0;  770;36.0;  281;21.0;  66;2.0;8.0;;;
2019;Contrary to the measures for family protection;3.0;;  12;;  534;  17; 1 601;34.0; 1 704;51.0;  824;22.0;  251;7.0;59.0;3.0;;
2019;Other crimes;29.0;;  488;15.0; 7 418;  511; 16 314;972.0; 12 896;736.0; 5 842;273.0; 1 602;94.0;269.0;22.0;;1.0
2019;Unknown;;;;;2;;9;;20;;  12 ;;2;;;;;
2018;Homicide;63.0;3.0;  587;15.0; 2 761;  62; 3 071;77.0; 1 460;56.0;  763;14.0;  307;6.0;85.0;1.0;;1.0
2018;Assault;34.0;;  421;6.0; 7 800;  160; 11 683;253.0; 7 615;225.0; 3 472;89.0; 1 043;18.0;189.0;3.0;2.0;
2018;Sexual crimes;287.0;;  602;6.0; 1 481;  12; 1 396;13.0; 1 005;11.0;  564;4.0;  288;1.0;98.0;1.0;5.0;
2018;Kidnapping;40.0;1.0;  176;3.0; 1 096;  47; 1 243;40.0;  630;22.0;  228;13.0;  62;3.0;20.0;1.0;2.0;
2018;Defamation;;;  2;;  629;  41; 1 429;71.0; 1 162;71.0;  624;35.0;  184;14.0;33.0;2.0;;
2018;Theft;921.0;59.0; 5 191;174.0; 18 955; 1 001; 11 772;806.0; 4 206;448.0; 1 330;182.0;  280;38.0;49.0;3.0;4.0;1.0
2018;Robbery;697.0;12.0; 2 844;43.0; 5 978;  139; 3 835;107.0; 1 209;51.0;  322;7.0;  54;3.0;6.0;;2.0;
2018;Swindling;1.0;;  46;; 1 104;  77; 2 713;115.0; 2 395;92.0; 1 023;55.0;  318;12.0;51.0;3.0;1.0;
2018;Production and commerce of drugs;90.0;8.0;  786;33.0; 5 589;  176; 6 438;259.0; 2 833;144.0; 1 036;90.0;  335;28.0;46.0;10.0;1.0;
2018;Use and purchase of drugs;4.0;;  244;10.0; 4 688;  102; 3 841;65.0; 1 091;17.0;  250;2.0;  58;;3.0;;;
2018;Forgery;;1.0;  42;8.0; 1 150;  66; 3 222;124.0; 2 648;79.0; 1 269;44.0;  284;17.0;34.0;2.0;;
2018;Bad treatment;;;  9;;  11;  4;  18;16.0;  21;13.0;  9;;  3;2.0;;;;
2018;Embezzlement;;;;;  4;;  41;2.0;  98;2.0;  56;2.0;  10;2.0;3.0;;;
2018;Bribery;;;;1.0;  27;;  57;1.0;  52;1.0;  24;;  12;;;;;
2018;Smuggling;2.0;;  49;; 1 641;  18; 3 342;58.0; 2 568;73.0; 1 295;53.0;  471;17.0;75.0;3.0;;
2018;Traffic crimes;;;  5;;  903;  14; 2 704;64.0; 2 491;26.0; 1 526;8.0;  413;;31.0;;;
2018;Forestry crimes;;;  1;;  31;  1;  127;5.0;  173;15.0;  182;13.0;  89;11.0;22.0;1.0;;
2018;Crimes related with firearms and knifes;1.0;;  22;3.0; 1 376;  21; 2 471;24.0; 1 523;14.0;  587;7.0;  192;1.0;37.0;;1.0;
2018;Opposition  to the  Bankruptcy   and Enforcement Law;1.0;;  1;;  658;  74; 4 136;229.0; 5 535;294.0; 3 127;148.0;  930;61.0;171.0;17.0;;
2018;Opposition to the Military Criminal Law;;;  3;; 1 753;;  242;;  37;;  5;;;;;;1.0;
2018;Threat;7.0;;  180;3.0; 2 270;  56; 3 910;104.0; 2 768;73.0; 1 209;35.0;  346;14.0;61.0;2.0;;
2018;Damage to property;2.0;;  21;1.0;  904;  25; 1 005;42.0;  479;17.0;  170;9.0;  36;4.0;4.0;1.0;1.0;
2018;Prevention of performance;2.0;;  13;;  886;  29; 1 178;31.0;  512;21.0;  216;10.0;  42;2.0;6.0;;1.0;
2018;Contrary to the measures for family protection;1.0;;  19;2.0;  541;  14; 1 620;25.0; 1 776;40.0;  817;26.0;  249;8.0;66.0;4.0;1.0;
2018;Other crimes;36.0;2.0;  634;18.0; 7 363;  439; 13 898;708.0; 9 908;568.0; 4 588;278.0; 1 352;76.0;229.0;13.0;4.0;
2018;Unknown;1.0;;2;;19;;29;3.0;19;;  11 ;;4;;;;;
2017;Homicide;52.0;3.0;  524;6.0; 2 324;  40; 2 733;61.0; 1 318;28.0;  627;15.0;  253;7.0;54.0;1.0;2.0;
2017;Assault;40.0;3.0;  387;6.0; 6 741;  137; 9 453;248.0; 5 641;180.0; 2 704;71.0;  753;16.0;149.0;6.0;4.0;
2017;Sexual crimes;238.0;1.0;  638;5.0; 1 374;  7; 1 321;19.0;  810;14.0;  451;6.0;  220;;66.0;1.0;5.0;
