Year;Crime Type;Male 12-14	;Female 12-14	;Male 15-17;Female 15-17;Male 18-24	;Female 18-24	;Male 25-34;Female 25-34;Male 35-44;Female 35-44;Male 45-54;Female 45-54;Male 55-64;Female 55-64;Male 65 +;Female 65 +;Male Unknown;Female Unknown
2013;Contrary to the measures for family protection;28.0;2.0; 47;4.0; 520; 13;1 561;25.0;1 476;24.0; 768;8.0; 169;3.0;54.0;1.0;17.0;
2013;Other crimes;63.0;1.0; 254;13.0;3 384; 158;5 770;312.0;4 144;220.0;2 082;147.0; 746;47.0;292.0;16.0;6.0;
2012;Homicide;46.0;3.0;  315;10.0; 1 648;  40; 2 064;66.0; 1 189;37.0;  683 ;14.0;232;1.0;72.0;1.0;13.0;
2012;Assault;23.0;1.0;  167;3.0; 3 911;  63; 5 346;105.0; 3 451;58.0; 1 622 ;27.0;406;8.0;90.0;1.0;22.0;1.0
2012;Sexual crimes;72.0;;  241;;  607;  6;  586;6.0;  365;11.0;  202 ;6.0;74;2.0;31.0;1.0;47.0;1.0
2012;Kidnapping;5.0;;  31;1.0;  343;  9;  312;5.0;  114;5.0;  56 ;2.0;10;;3.0;;5.0;1.0
2012;Defamation;1.0;;  2;;  299;  14;  560;18.0;410;23.0;  247 ;12.0;55;2.0;17.0;1.0;6.0;
2012;Theft;97.0;10.0;  841;42.0; 4 944;  203; 3 354;222.0; 1 406;109.0;  511 ;43.0;112;8.0;27.0;1.0;28.0;
2012;Robbery;135.0;1.0;  650;11.0; 1 471;  32;  910;44.0;  288;14.0;  82 ;5.0;6;1.0;1.0;;15.0;1.0
2012;Opposition to cheque laws;;;;;  63;  3;  250;17.0;  229;10.0;  94 ;3.0;26;5.0;3.0;1.0;3.0;
2012;Swindling;;;;;  207;  15;  678;26.0;  589;29.0;  247 ;16.0;71;5.0;8.0;;33.0;2.0
2012;Production and commerce of drugs;16.0;1.0;  108;2.0; 1 570;  37; 2 408;63.0; 1 210;39.0;  506 ;19.0;144;9.0;12.0;1.0;17.0;
2012;Use and purchase of drugs;;;  12;2.0;  789;  18;  645;19.0;  230;2.0;  70 ;1.0;19;;3.0;;2.0;
2012;Forgery;1.0;;  22;3.0;  589;  30; 1 346;52.0; 1 156;24.0;  487 ;14.0;96;4.0;7.0;;23.0;
2012;Bad treatment;;;;;  3;;  26;2.0;  18;2.0;  8 ;2.0;5;;;;;
2012;Embezzlement;;;;;  8;  3;  55;;  107;2.0;  48 ;1.0;;;;;5.0;
2012;Bribery;;;;;  6;  1;  19;1.0;  19;1.0;  7 ;1.0;;;1.0;;;
2012;Smuggling;1.0;;  4;;  171;;  439;2.0;296;2.0;  157 ;3.0;49;;7.0;1.0;4.0;
2012;Traffic crimes;;;  1;;  125;  1;  253;3.0;260;2.0;  127 ;;18;;2.0;;1.0;
2012;Forestry crimes;;;;;  26;;  85;;93;1.0;  104 ;;58;1.0;17.0;;3.0;
2012;Crimes related with firearms and knifes;;;  20;; 1 137;  6; 2 281;17.0;1255;8.0;  510 ;3.0;141;4.0;35.0;;7.0;1.0
2012;Opposition  to the  Bankruptcy   and Enforcement Law;;;;; 1 122;  101; 8 378;409.0; 10 308;498.0; 6 569 ;328.0; 2 148;112.0;400.0;12.0;128.0;5.0
2012;Opposition to the Military Criminal Law;;;;; 2 771;;  267;1.0;47;;  8 ;;2;;;;16.0;
2012;Other crimes;11.0;;  156;1.0; 3 941;  149; 5 951;188.0; 4 116;145.0; 1 774 ;57.0;454;13.0;89.0;8.0;73.0;4.0
2011;Homicide;24.0;1.0;  239;11.0;  826;  32;  981;36.0;  602;24.0;  321 ;9.0;92;5.0;33.0;;240.0;8.0
2011;Assault;12.0;;  126;1.0; 1 941;  24; 2 524;55.0; 1 478;37.0;  708 ;25.0;168;4.0;35.0;1.0;738.0;8.0
2011;Sexual crimes;11.0;;  58;;  230;  1;  208;6.0;  127;3.0;  79 ;2.0;27;;7.0;1.0;66.0;2.0
2011;Kidnapping;3.0;1.0;  37;;  229;  5;  237;10.0;  94;5.0;  30 ;6.0;11;1.0;5.0;;47.0;2.0
2011;Defamation;;;  3;;  138;  5;  321;12.0;231;12.0;  132 ;5.0;22;1.0;7.0;1.0;101.0;2.0
2011;Theft;63.0;4.0;  396;14.0; 2 150;  92; 1 655;98.0;  864;65.0;  356 ;30.0;109;8.0;14.0;2.0;505.0;20.0
2011;Robbery;85.0;;  405;8.0;  857;  27;  491;17.0;  121;4.0;  25 ;3.0;6;;1.0;;171.0;4.0
2011;Opposition to cheque laws;;;;;  599;  59; 2 548;185.0; 2 648;149.0; 1 180 ;56.0;302;24.0;53.0;4.0;1088.0;51.0
2011;Swindling;;;;;  113;  13;  391;20.0;  299;13.0;  112 ;8.0;35;3.0;7.0;;87.0;2.0
2011;Production and commerce of drugs;10.0;;  32;1.0;  666;  16; 1 036;38.0;  520;24.0;  244 ;6.0;63;2.0;9.0;1.0;134.0;9.0
2011;kullanma, satın alma;;;;;;;;;;;;;;;;;;
2011;Use and purchase of drugs;;;  2;;  525;  6;  488;10.0;  159;;  41 ;;7;;1.0;;80.0;1.0
2011;Forgery;;;  4;;  289;  13;  717;23.0;  549;20.0;  224 ;5.0;41;2.0;6.0;3.0;174.0;7.0
2011;Bad treatment;;;;;  4;;  14;1.0;  20;;  8 ;;4;;;1.0;8.0;1.0
2011;Embezzlement;;;;;  1;;  15;3.0;  33;2.0;  12 ;;2;;;;16.0;3.0
2011;Bribery;;;;;  1;;  6;1.0;  3;;  2 ;;;;;;;
2011;Smuggling;;;  3;;  178;;  289;1.0;185;2.0;  98 ;;24;;7.0;;94.0;
2011;Traffic crimes;;;;;  50;;  134;;121;;  72 ;2.0;16;;1.0;;57.0;
2011;Forestry crimes;;;;;  20;;  72;;74;2.0;  60 ;2.0;39;;6.0;;33.0;1.0
2011;Crimes related with firearms and knifes;1.0;;  9;;  639;  5; 1 145;10.0;594;3.0;  233 ;1.0;53;;26.0;;308.0;1.0
2011;Opposition  to the  Bankruptcy   and Enforcement Law;;;;;  703;  101; 5 777;333.0; 7 498;484.0; 4 952 ;277.0; 1 566;72.0;347.0;18.0;2569.0;108.0
2011;Opposition to the Military Criminal Law;;;;; 2 328;;  255;;50;;  7 ;;;;;;341.0;
2011;Other crimes;8.0;;  91;2.0; 2 246;  107; 2 716;130.0; 1 556;53.0;  573 ;32.0;160;11.0;40.0;3.0;874.0;33.0
